,bathrooms,building_subtype,building_type,conservation_state,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,rooms,sqft_m2,neighbourhood,neighb_meanprice
7138,1,Attic,Flat,1.0,0,True,False,41.38284,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/156934552/d,2.176797,1200.0,ENGEL & VOELKERS,2,60,el barri gòtic,14.298789695601279
7139,1,Flat,Flat,1.0,0,True,False,41.37933,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/158198271/d,2.160041,1200.0,DOMINGUEZ,3,82,sant antoni,13.848563622132444
7140,1,Flat,Flat,1.0,0,True,False,41.40608,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-no-amueblado/158198230/d,2.146467,1200.0,DOMINGUEZ,3,90,el putxet i el farró,15.027643645449707
7141,2,Flat,Flat,1.0,0,True,False,41.38958,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/158197983/d,2.155427,1200.0,DOMINGUEZ,3,100,l'antiga esquerra de l'eixample,14.475539079123976
7142,1,Flat,Flat,1.0,0,True,False,41.38964,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158199145/d,2.163548,1200.0,ENGEL & VOELKERS,1,45,la dreta de l'eixample,14.399608832391861
7143,2,Flat,Flat,1.0,200,True,False,41.39323,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-ascensor-no-amueblado/155984934/d,2.171071,1200.0,BARNAQUATRE,3,95,la dreta de l'eixample,14.399608832391861
7144,1,Flat,Flat,1.0,0,True,False,41.39201,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-ascensor-patio-no-amueblado/158190786/d,2.144677,1200.0,Inmorase,2,81,l'antiga esquerra de l'eixample,14.475539079123976
7145,1,Flat,Flat,1.0,50,True,False,41.40247,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado/156853913/d,2.174561,1200.0,ENGEL & VOELKERS,1,55,la sagrada família,14.476486837923611
7146,2,Flat,Flat,1.0,100,True,False,41.40834,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/157740112/d,2.1729700000000003,1200.0,CASPE ADM. FINCAS,3,85,la sagrada família,14.476486837923611
7147,2,Flat,Flat,1.0,0,True,False,41.3896,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/158181483/d,2.1554900000000004,1200.0,DOMINGUEZ,3,100,l'antiga esquerra de l'eixample,14.475539079123976
7148,1,Flat,Flat,1.0,0,False,False,41.40975,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-amueblado/156133099/d,2.175411,1200.0,ENGEL & VOELKERS,2,50,la sagrada família,14.476486837923611
7149,1,Flat,Flat,1.0,450,False,False,41.39304,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/155006473/d,2.154068,1200.0,ENGEL & VOELKERS,2,65,l'antiga esquerra de l'eixample,14.475539079123976
7150,2,Flat,Flat,1.0,0,True,False,41.38061,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157437766/d,2.167591,1200.0,ENGEL & VOELKERS,4,97,el raval,14.323614132049755
7151,1,Apartment,Flat,1.0,0,False,False,41.37732000000001,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157850164/d,2.177883,1200.0,ENGEL & VOELKERS,2,88,el barri gòtic,14.298789695601279
7152,2,Flat,Flat,1.0,0,False,False,41.42762000000001,/es/alquiler/vivienda/barcelona-capital/no-amueblado/158177807/d,2.16766,1200.0,NCI,4,112,vilapicina i la torre llobeta,12.174391664439586
7153,1,Apartment,Flat,1.0,0,True,False,41.38515,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-trastero-ascensor-piscina-amueblado/157430809/d,2.172968,1200.0,ENGEL & VOELKERS,1,66,el barri gòtic,14.298789695601279
